214,-13.3,23.1,-13.3,25.3,-15.5,25.3,-15.5,23.1
222,-13.3,20.9,-13.3,23.1,-15.5,23.1,-15.5,20.9
256,-15.5,8.3,-15.5,10.5,-17.7,10.5,-17.7,8.3
257,-13.3,8.3,-13.3,10.5,-15.5,10.5,-15.5,8.3
258,-11.1,8.3,-11.1,10.5,-13.3,10.5,-13.3,8.3
260,-8.9,8.3,-8.9,10.5,-11.1,10.5,-11.1,8.3
261,-6.7,8.3,-6.7,10.5,-8.9,10.5,-8.9,8.3
262,-4.5,8.3,-4.5,10.5,-6.7,10.5,-6.7,8.3
264,-10.3,17.1,-10.3,19.3,-12.5,19.3,-12.5,17.1
265,-10.3,14.9,-10.3,17.1,-12.5,17.1,-12.5,14.9
266,-10.3,12.7,-10.3,14.9,-12.5,14.9,-12.5,12.7
268,-1.5,17.1,-1.5,19.3,-3.7,19.3,-3.7,17.1
269,-1.5,19.3,-1.5,21.5,-3.7,21.5,-3.7,19.3
270,-2.3,21.5,-2.3,23.7,-4.5,23.7,-4.5,21.5
271,-4.5,21.5,-4.5,23.7,-6.7,23.7,-6.7,21.5
272,-6.7,21.5,-6.7,23.7,-8.9,23.7,-8.9,21.5
273,-11.1,21.5,-11.1,23.7,-13.3,23.7,-13.3,21.5
274,-8.9,21.5,-8.9,23.7,-11.1,23.7,-11.1,21.5
275,26.3,19.9,28.5,19.9,28.5,22.1,26.3,22.1
276,-10.3,19.3,-10.3,21.5,-12.5,21.5,-12.5,19.3
277,-2.3,8.3,-2.3,10.5,-4.5,10.5,-4.5,8.3
279,-1.5,10.5,-1.5,12.7,-3.7,12.7,-3.7,10.5
280,-1.5,12.7,-1.5,14.9,-3.7,14.9,-3.7,12.7
281,-10.3,10.5,-10.3,12.7,-12.5,12.7,-12.5,10.5
282,-1.5,14.9,-1.5,17.1,-3.7,17.1,-3.7,14.9
283,-5.9,14.9,-5.9,17.1,-8.1,17.1,-8.1,14.9
285,-3.7,14.9,-3.7,17.1,-5.9,17.1,-5.9,14.9
290,-19.9,20.9,-17.7,20.9,-17.7,23.1,-19.9,23.1
291,-19.5,63.9,-17.3,63.9,-17.3,66.1,-19.5,66.1
292,-17.7,20.9,-15.5,20.9,-15.5,23.1,-17.7,23.1
293,-8.1,14.9,-8.1,17.1,-10.3,17.1,-10.3,14.9
294,-17.3,63.9,-15.1,63.9,-15.1,66.1,-17.3,66.1
295,28.5,19.5,30.8,19.5,30.8,21.7,28.5,21.7
296,-21.7,22.5,-19.5,22.5,-19.5,24.7,-21.7,24.7
297,21.8,19.5,24,19.5,24,21.7,21.8,21.7
298,-42.5,11.7,-40.3,11.7,-40.3,13.9,-42.5,13.9
299,-60.9,8.1,-58.7,8.1,-58.7,10.3,-60.9,10.3
303,-49.7,8.3,-47.5,8.3,-47.5,10.5,-49.7,10.5
304,-48.7,12.9,-46.5,12.9,-46.5,15.1,-48.7,15.1
307,24,19.5,26.3,19.5,26.3,21.7,24,21.7
309,-47.5,8.3,-45.3,8.3,-45.3,10.5,-47.5,10.5
310,-48.7,5.7,-46.5,5.7,-46.5,7.9,-48.7,7.9
315,-48.7,10.7,-46.5,10.7,-46.5,12.9,-48.7,12.9
318,-60.9,10.5,-58.7,10.5,-58.7,12.7,-60.9,12.7
319,-62.7,12.7,-60.5,12.7,-60.5,14.9,-62.7,14.9
320,-64.7,15.1,-62.5,15.1,-62.5,17.3,-64.7,17.3
321,-66.7,17.3,-64.5,17.3,-64.5,19.5,-66.7,19.5
322,-17.7,8.3,-17.7,10.5,-19.9,10.5,-19.9,8.3
323,-19.9,8.3,-19.9,10.5,-22.1,10.5,-22.1,8.3
324,-22.1,8.3,-22.1,10.5,-24.3,10.5,-24.3,8.3
326,-26.5,8.3,-24.3,8.3,-24.3,10.5,-26.5,10.5
327,-26.5,8.3,-26.5,10.5,-28.7,10.5,-28.7,8.3
328,-28.7,8.3,-28.7,10.5,-30.9,10.5,-30.9,8.3
329,-30.9,8.3,-30.9,10.5,-33.1,10.5,-33.1,8.3
330,-33.1,8.3,-33.1,10.5,-35.3,10.5,-35.3,8.3
331,-35.3,8.3,-35.3,10.5,-37.5,10.5,-37.5,8.3
334,-39.9,5.1,-37.7,5.1,-37.7,7.3,-39.9,7.3
336,-42.5,8.3,-40.3,8.3,-40.3,10.5,-42.5,10.5
338,-45.1,8.3,-42.9,8.3,-42.9,10.5,-45.1,10.5
339,-45.1,5.1,-42.9,5.1,-42.9,7.3,-45.1,7.3
340,-39.9,8.3,-37.7,8.3,-37.7,10.5,-39.9,10.5
341,8.4,21.7,10.7,21.7,10.7,23.9,8.4,23.9
342,-42.3,15.3,-40.1,15.3,-40.1,17.5,-42.3,17.5
343,-39.7,15.3,-37.5,15.3,-37.5,17.5,-39.7,17.5
344,17.5,19.5,19.7,19.5,19.7,21.7,17.5,21.7
345,-39.9,11.7,-37.7,11.7,-37.7,13.9,-39.9,13.9
346,-42.5,5.1,-40.3,5.1,-40.3,7.3,-42.5,7.3
347,-51.9,8.3,-49.7,8.3,-49.7,10.5,-51.9,10.5
348,-54.1,8.3,-51.9,8.3,-51.9,10.5,-54.1,10.5
349,-56.3,8.3,-54.1,8.3,-54.1,10.5,-56.3,10.5
350,-58.5,8.3,-56.3,8.3,-56.3,10.5,-58.5,10.5
351,8.4,23.9,10.7,23.9,10.7,26.1,8.4,26.1
352,-66.1,10.5,-63.9,10.5,-63.9,12.7,-66.1,12.7
353,-68.3,12.7,-66.1,12.7,-66.1,14.9,-68.3,14.9
354,-69.3,9.3,-67.1,9.3,-67.1,11.5,-69.3,11.5
355,-71.7,6.9,-69.5,6.9,-69.5,9.1,-71.7,9.1
356,-17.5,24.7,-15.3,24.7,-15.3,26.9,-17.5,26.9
357,-21.7,24.7,-19.5,24.7,-19.5,26.9,-21.7,26.9
358,-19.7,26.3,-17.5,26.3,-17.5,28.5,-19.7,28.5
359,-45.3,21.5,-43.1,21.5,-43.1,23.7,-45.3,23.7
360,-43.1,21.5,-40.9,21.5,-40.9,23.7,-43.1,23.7
361,-43.1,19.3,-40.9,19.3,-40.9,21.5,-43.1,21.5
363,-40.9,21.5,-38.7,21.5,-38.7,23.7,-40.9,23.7
365,-47.9,21.5,-45.7,21.5,-45.7,23.7,-47.9,23.7
367,-47.9,19.3,-45.7,19.3,-45.7,21.5,-47.9,21.5
368,-45.3,19.3,-43.1,19.3,-43.1,21.5,-45.3,21.5
369,-56.7,23.9,-54.5,23.9,-54.5,26.1,-56.7,26.1
370,-52.3,23.9,-50.1,23.9,-50.1,26.1,-52.3,26.1
371,-54.5,23.9,-52.3,23.9,-52.3,26.1,-54.5,26.1
372,-50.1,23.9,-47.9,23.9,-47.9,26.1,-50.1,26.1
373,19.5,19.5,21.8,19.5,21.8,21.7,19.5,21.7
374,-65.5,23.9,-63.3,23.9,-63.3,26.1,-65.5,26.1
375,-67.7,23.9,-65.5,23.9,-65.5,26.1,-67.7,26.1
376,-63.3,23.9,-61.1,23.9,-61.1,26.1,-63.3,26.1
377,-61.1,23.9,-58.9,23.9,-58.9,26.1,-61.1,26.1
378,-58.9,23.9,-56.7,23.9,-56.7,26.1,-58.9,26.1
379,-67.7,19.5,-65.5,19.5,-65.5,21.7,-67.7,21.7
380,-67.7,21.7,-65.5,21.7,-65.5,23.9,-67.7,23.9
383,12.9,19.5,15.2,19.5,15.2,21.7,12.9,21.7
384,-35.9,25.9,-33.7,25.9,-33.7,28.1,-35.9,28.1
385,-35.9,21.5,-33.7,21.5,-33.7,23.7,-35.9,23.7
386,-35.9,19.3,-33.7,19.3,-33.7,21.5,-35.9,21.5
387,-38.7,21.5,-36.5,21.5,-36.5,23.7,-38.7,23.7
388,-38.7,19.3,-36.5,19.3,-36.5,21.5,-38.7,21.5
389,8.2,28.3,10.5,28.3,10.5,30.5,8.2,30.5
390,-33.9,30.5,-31.7,30.5,-31.7,32.7,-33.9,32.7
391,-35.9,30.5,-33.7,30.5,-33.7,32.7,-35.9,32.7
392,-35.9,28.1,-33.7,28.1,-33.7,30.3,-35.9,30.3
393,-35.9,23.7,-33.7,23.7,-33.7,25.9,-35.9,25.9
394,-29.3,38.3,-27.1,38.3,-27.1,40.5,-29.3,40.5
395,-31.7,39.3,-29.5,39.3,-29.5,41.5,-31.7,41.5
396,-31.7,37.1,-29.5,37.1,-29.5,39.3,-31.7,39.3
397,-31.7,34.9,-29.5,34.9,-29.5,37.1,-31.7,37.1
398,-31.7,32.7,-29.5,32.7,-29.5,34.9,-31.7,34.9
399,-19.7,35.1,-17.5,35.1,-17.5,37.3,-19.7,37.3
400,-19.7,37.3,-17.5,37.3,-17.5,39.5,-19.7,39.5
401,-22.1,38.3,-19.9,38.3,-19.9,40.5,-22.1,40.5
